ccode,leaderid,country,year,current_leader,leader_id,current_leader_start_month,current_leader_start_year,current_leader_end_month,current_leader_end_year,current_p_name,create,partyage,persparty,v2paseatshare,v2exl_legitideol,v2exl_legitlead,v2exl_legitperf,gwf_duration,lpop,gdppc,l12gr,oilgasrentsgdp,priormil,pres,ivdem,leadertimeinpower,dem1990,iv2xps_party,ipolarization,iv2juhcind,iv2x_libdem,iv2x_partipdem,iv2xpa_illiberal,iv2xpa_popul,iv2paclient,iv2paind,iv2parelig,iv2pariglef,iv2paseat,demcollapse
130,130-4-2005,Ecuador,2006,Luis Alfredo Palacio Gonzalez,130-4-2005,4,2005,1,2007,N/A,0,3,.78168726,24,-1.158,-2.078,-.02,27,16.458799,.070875183,4.9752965,2.9691772,1,1,.72600001,0,.73400003,.39500001,.46900001,-.048,.47299999,.50199997,.75199997,.72299999,.206,1.7970001,-.34099999,-.435,24,0
130,130-1-2007,Ecuador,2017,Rafael Correa,130-1-2007,1,2007,5,2017,Ecuadorian PAIS Alliance,1,1,.89065653,55.2,-.069,.292,.6,38,16.636017,.077337787,-2.2028265,1.7881496,1,1,.73299998,10,.73400003,.39500001,.46900001,.064999998,.47400001,.514,.95499998,.97600001,1.2180001,1.4119999,-1.735,-1.767,61.5,0
130,130-5-2017,Ecuador,2020,Lenin Moreno,130-5-2017,5,2017,99,9999,Ecuadorian PAIS Alliance,0,11,.54492342,55.2,-1.881,-1.364,1.338,41,16.685854,.072922409,-1.0683393,,1,1,.67400002,2,.73400003,.36500001,1.5039999,-1.071,.32499999,.40000001,.98500001,.88200003,1.59,2.8139999,-1.324,-1.545,55.200001,0
135,135-7-1990,Peru,1992,Alberto Fujimori,135-7-1990,7,1990,11,2000,Cambio 90,1,1,.89065653,67.7,-1.846,-.525,1.602,12,16.949562,.051361382,-3.3891931,.83157736,1,1,.61400002,1,.61400002,.60000002,.12899999,.73199999,.39199999,.36000001,.83399999,.75199997,2.415,2.3770001,-1.678,.69700003,17.799999,1
135,135-7-2001,Peru,2006,Alejandro Toledo,135-7-2001,7,2001,7,2006,Peru Possible,1,7,.81250143,37.5,-1.618,-1.699,.508,5,17.151354,.064216807,4.6815324,.9050504,0,1,.79799998,4,.61400002,.39199999,-.32499999,2.0899999,.44,.45699999,.28,.57499999,.153,2.2620001,-.602,1.149,37.5,0
135,135-7-2006,Peru,2011,Alan Garcia,135-7-2006,7,2006,6,2011,APRA,0,82,.3042722,3.1,-1.536,-1.699,.541,10,17.191879,.073898137,3.8712106,.86217058,0,1,.787,4,.61400002,.377,.21799999,1.812,.64899999,.52600002,.51999998,.33899999,1.084,1.961,-.58899999,1.804,30,0
135,135-7-2011,Peru,2016,Ollanta Humala,135-7-2011,7,2011,7,2016,Peruvian Nationalist Party (Peru Wins),1,6,.81250143,36.2,-1.536,-2.08,.541,15,17.247108,.079875059,1.634501,.23121215,0,1,.81,4,.61400002,.36300001,.015,1.549,.65899998,.59100002,.66100001,.80000001,.50300002,1.558,-.301,-.97399998,36.200001,0
135,135-7-2016,Peru,2018,Pablo Kuczynsk,135-7-2016,7,2016,3,2018,Peruvians for Change,1,6,.81250143,13.8,-1.536,-2.08,.541,17,17.28091,.081082158,1.6260155,.45665365,0,1,.77600002,1,.61400002,.375,.67799997,1.377,.65200001,.54400003,.182,.079999998,-.18099999,1.658,-1.086,1.434,13.8,0
135,135-3-2018,Peru,2020,Martin Vizcarra,135-3-2018,3,2018,99,9999,Peruvians for Change,0,8,.50618774,13.8,-1.536,-1.584,.541,19,17.311165,.076106422,1.3817114,,0,1,.792,1,.61400002,.412,.94800001,1.377,.67900002,.58600003,.182,.079999998,-.18099999,1.658,-1.086,1.434,13.8,0
140,140-3-1990,Brazil,1992,Fernando Collor de Mello,140-3-1990,3,1990,12,1992,National Reconstruction Party (PRN),1,1,.89065653,,-1.653,-.592,-.257,7,18.854147,.07751026,-3.3984785,.49034885,1,1,.83999997,1,.81699997,.62099999,1.421,1.184,.69700003,.55599999,,,,,,,,0
140,140-12-1992,Brazil,1994,Itamar Franco,140-12-1992,12,1992,1,1995,Brazilian Democratic Movement (PMDB),0,3,.63375723,,-1.875,-1.648,-.118,9,18.887133,.080053955,.48229542,.35798594,1,1,.85100001,1,.81699997,.62699997,1.421,1.184,.72899997,.57999998,,,,,,,,0
140,140-1-1995,Brazil,2002,Henrique Cardoso,140-1-1995,1,1995,1,2003,Brazilian Social Democracy Party (PSDB),1,7,.70238376,14,-.889,-1.295,.006,17,19.005896,.083094135,1.4625987,.98747706,1,1,.86299998,7,.81699997,.65600002,.27000001,1.184,.736,.58600003,.028999999,.25600001,-.176,-.796,1.35,.37,12.1,0
140,140-1-2003,Brazil,2010,Lula da Silva,140-1-2003,1,2003,1,2011,Brazilian Workers' Party (PT),1,24,.70238376,17.2,-.663,.945,.006,25,19.092163,.093285941,1.4862342,.92621613,1,1,.86900002,7,.81699997,.71899998,-.185,1.184,.74800003,.60799998,.018999999,.67900002,-.75,.61299998,2.2160001,-1.437,17.9,0
140,140-1-2011,Brazil,2016,Dilma Rousseff,140-1-2011,1,2011,1,2016,Brazilian Workers' Party (PT),0,32,.63375723,13.3,-1.266,-1.867,.122,31,19.144178,.091952838,-2.351979,.61262149,1,1,.88700002,5,.81699997,.71700001,.119,2.0339999,.78600001,.65799999,.033,.639,.204,.34,2.2160001,-1.2920001,17.200001,0
140,140-8-2016,Brazil,2018,Michel Temer,140-8-2016,8,2016,12,2018,Brazilian Democratic Movement Party (PMDB),0,50,.3042722,,-1.666,-1.664,.122,33,19.160088,.092640974,-1.7805364,1.1352148,1,1,.80599999,1,.81699997,.72100002,2.3050001,1.5549999,.69,.546,.046999998,.23800001,2.342,-2.6359999,.63099998,.66000003,12.9,0
140,140-1-2019,Brazil,2020,Jair Bolsonaro,140-1-2019,1,2019,99,9999,Social Liberal Party,0,25,.69632649,10.1,1.203,.483,.452,35,19.174732,.090712681,.82040673,,1,1,.76200002,1,.81699997,.736,2.993,1.5549999,.59899998,.48300001,.95300001,.34900001,.67299998,1.303,-3.276,3.2420001,10.1,0
145,145-8-1989,Bolivia,1993,Jaime Paz Zamora,145-8-1989,8,1989,8,1993,Revolutionary Left Movement (MIR),1,18,.70238376,,-1.6,.077,1.326,11,15.805144,.042741846,1.2951236,1.0911962,1,1,.708,2,.66799998,.58899999,.108,.052999999,.44,.34599999,.164,.41,-.237,2.1459999,1.243,-.93300003,25.4,0
145,145-8-1993,Bolivia,1997,Gonzalo Sánchez de Lozada,145-8-1993,8,1993,8,1997,Revolutionary Nationalist Movement (MNR),0,52,.21162806,20,-1.6,.077,1.491,15,15.887103,.044942759,2.3991113,1.1035306,1,1,.74199998,3,.66799998,.574,.108,.052999999,.49000001,.38600001,.109,.15899999,-.222,.99800003,1.268,1.0930001,40,0
145,145-8-1997,Bolivia,2001,Hugo Banzer,145-8-1997,8,1997,8,2001,Nationalist Democratic Action party (ADN),1,18,.81250143,25.4,-1.306,-.178,1.204,19,15.964972,.045324728,-.48898587,1.4733082,1,1,.75599998,3,.66799998,.59100002,.090999998,.052999999,.52899998,.44800001,.17200001,.059,.46799999,.69,.37799999,.96100003,25.4,0
145,145-8-2001,Bolivia,2002,Jorge Quiroga Ramirez,145-8-2001,8,2001,8,2002,Nationalist Democratic Action party (ADN),0,22,.54492342,25.4,-1.306,-.272,1.204,20,15.983744,.045455933,.15455712,1.5528867,1,1,.75999999,0,.66799998,.60100001,.090999998,.052999999,.54000002,.45899999,.17200001,.059,.46799999,.69,.37799999,.96100003,25.4,0
145,145-8-2002,Bolivia,2003,Gonzalo Sánchez de Lozada,145-8-2002,8,2002,10,2003,Revolutionary Nationalist Movement (MNR),0,61,.21162806,27.5,-1.306,-.363,1.129,21,16.002216,.045644514,.17202212,1.609985,1,1,.74699998,0,.66799998,.69099998,.29100001,.052999999,.52999997,.45300001,.219,.152,-.252,1.484,1.268,1.513,27.5,0
145,145-10-2003,Bolivia,2005,Carlos Mesa,145-10-2003,10,2003,6,2005,Revolutionary Nationalist Movement (MNR),0,62,.63375723,5.4,-.086,-.051,1.028,23,16.038219,.046756677,1.5649331,2.4289572,1,1,.76700002,1,.66799998,.67299998,.90200001,.052999999,.53299999,.45300001,.219,.152,-.252,1.484,1.268,1.513,27.5,0
145,145-1-2006,Bolivia,2019,Evo Morales,145-1-2006,1,2006,11,2019,Movement for Socialism (MAS),1,8,.70238376,51.5,1.205,1.086,1.194,37,16.258997,.057596624,2.7241592,1.4235411,1,1,.764,13,.66799998,.75,.77899998,-.565,.54400003,.52700001,.426,.91000003,-1.607,-.32600001,1.898,-2.1919999,55.400002,1
150,150-8-1993,Paraguay,1998,Juan Carlos Wasmosy,150-8-1993,8,1993,8,1998,Colorado Party,0,106,.5896256,56.3,-.64,-.792,.245,5,15.446287,.06498462,.60495973,0,0,1,.52100003,4,.50400001,.417,-1.409,.35699999,.368,.31299999,.92900002,.244,3.608,-.23,-1.357,1.653,47.5,0
150,150-8-1998,Paraguay,1999,Raul Cubas Grau,150-8-1998,8,1998,3,1999,Colorado Party,0,111,.53547341,56.3,-.64,-.792,.245,6,15.467308,.063864447,-.071604744,0,0,1,.537,0,.50400001,.417,-1.409,.35699999,.39300001,.331,.91799998,.37900001,3.608,.078000002,-1.357,1.663,56.299999,0
150,150-3-1999,Paraguay,2003,Luis Gonzalez Macchi,150-3-1999,3,1999,8,2003,Colorado Party,0,112,.26644966,46.3,-.64,-.792,.652,10,15.544149,.061774481,-2.3244014,0,0,1,.54500002,3,.50400001,.417,-1.3099999,.169,.39399999,.333,.91799998,.37900001,3.608,.078000002,-1.357,1.663,56.299999,0
150,150-8-2003,Paraguay,2008,Oscar Nicanor Duarte,150-8-2003,8,2003,8,2008,Colorado Party,0,116,.29547179,37.5,-.573,-.5679999999999999,.986,15,15.620728,.066485718,3.5757575,0,0,1,.59899998,4,.50400001,.42899999,-1.515,.169,.41600001,.35100001,.88,.55000001,2.48,-.037999999,-1.503,.54100001,46.299999,0
150,150-8-2008,Paraguay,2012,Fernando Lugo,150-8-2008,8,2008,6,2012,Liberal Radical Authentic party (PLRA),0,121,.69632649,33.8,-.783,-1.354,1.225,19,15.675164,.069304042,6.2359056,0,0,1,.64300001,3,.50400001,.428,-1.416,1.293,.48500001,.39399999,.456,.537,1.2690001,-.84200001,-1.026,1.976,33.799999,0
150,150-6-2012,Paraguay,2013,Federico Franco,150-6-2012,6,2012,8,2013,Liberal Radical Authentic party (PLRA),0,125,.50389379,33.8,-.6899999999999999,-1.885,.95,20,15.688892,.071627192,.40477902,0,0,1,.61500001,0,.50400001,.40000001,-1.323,1.293,.48800001,.40599999,.43700001,.53399998,1.258,-.49000001,-1.2589999,2.016,33.799999,0
150,150-8-2013,Paraguay,2018,Horacio Cartes,150-8-2013,8,2013,8,2018,Colorado Party,0,126,.69632649,52.5,-.587,-1.601,.95,25,15.755125,.076624289,3.1729023,0,0,1,.602,4,.50400001,.50199997,-1.423,.34900001,.41800001,.37599999,.82999998,.20900001,2.48,.829,-1.651,1.6619999,55,0
150,150-8-2018,Paraguay,2020,Mario Abdo Benitez,150-8-2018,8,2018,99,9999,Colorado Party,0,131,.21162806,52.5,-.965,-1.699,.539,27,15.780176,.075139761,.1147805,,0,1,.58999997,1,.50400001,.53899997,-1.415,.48500001,.42300001,.36399999,.829,.141,2.8940001,.33899999,-1.651,1.6619999,52.5,0
155,155-3-1990,Chile,1994,Patricio Aylwin,155-3-1990,3,1990,3,1994,Christian Democrat Party,1,33,.59488547,30.8,-1.177,-2.211,1.106,5,16.466379,.082930297,7.1076269,.10266026,1,1,.82800001,3,.73100001,.94099998,-1.425,1.099,.62300003,.37,.122,.322,-1.682,-1.944,-1.931,.34799999,31.700001,0
155,155-3-1994,Chile,2000,Eduardo Frei,155-3-1994,3,1994,3,2000,Christian Democrat Party,0,37,.54492342,31.7,-1.177,-2.035,1.106,11,16.546127,.093195073,.68153679,.086437516,1,1,.86000001,5,.73100001,.94099998,-1.649,1.961,.79400003,.54100001,.028000001,.255,-1.125,-.86799997,-1.873,.146,30.799999,0
155,155-3-2000,Chile,2006,Ricardo Lagos,155-3-2000,3,2000,3,2006,Party for Democracy (PPD),1,13,.69063359,17.5,-1.177,-2.229,1.106,17,16.610014,.10434493,5.3747859,.06430535,1,1,.87900001,5,.73100001,.94099998,-1.973,1.961,.815,.57999998,.033,.31099999,-1.12,-1.852,.95999998,-.625,16.700001,0
155,155-3-2006,Chile,2010,Michelle Bachelet,155-3-2006,3,2006,3,2010,Socialist Party,0,73,.29547179,9.199999999999999,-1.177,-2.149,1.209,21,16.652395,.10866988,-.087600052,.057112381,1,1,.889,3,.73100001,.93699998,-1.973,1.961,.83600003,.588,.029999999,.477,-.66799998,-1.928,.71799999,-1.268,12.5,0
155,155-3-2010,Chile,2014,Sebastian Pinera,155-3-2010,3,2010,3,2014,Renewal Party (RN),0,23,.50389379,15.8,-1.177,-2.317,1.109,25,16.692402,.11586925,3.6703837,.064930625,1,1,.88800001,3,.73100001,.93300003,-1.493,1.961,.83899999,.57099998,.037,.090999998,-.75300002,-1.226,-.72899997,1.67,15,0
155,155-3-2014,Chile,2018,Michelle Bachelet,155-3-2014,3,2014,3,2018,Socialist Party,0,81,.21162806,12.3,-1.177,-2.138,1.217,29,16.745592,.11790258,.062423687,.033207264,1,1,.88700002,3,.73100001,.93300003,-1.329,2.7160001,.84600002,.588,.030999999,.50599998,-.66799998,-1.786,.71799999,-1.403,12.5,0
155,15-3-2018,Chile,2020,Sebastian Pinera,15-3-2018,3,2018,99,9999,Renewal Party (RN),0,31,.50389379,23.2,-.8149999999999999,-.927,.401,31,16.766047,.11381742,1.0180427,,1,1,.86299998,1,.73100001,.93599999,-.56999999,2.1370001,.80299997,.56900001,.077,.148,-.75300002,-1.818,-.82599998,1.67,23.200001,0
160,160-7-1989,Argentina,1999,Carlos Menem,160-7-1989,7,1989,12,1999,Justicialist Party,0,44,.58702099,38.5,-1.589,-.064,.852,16,17.411924,.10457363,4.7728682,.82948333,1,1,.829,8,.82800001,.69800001,-.011,-.54699999,.61000001,.56,.139,.38600001,1.266,.68900001,.34999999,.80400002,48.200001,0
160,160-12-1999,Argentina,2001,Fernando de la Rua,160-12-1999,12,1999,12,2001,Radical Civic Union (UCR),0,109,.1619093,25.3,-2.269,-2.11,1.544,18,17.433851,.10072789,-3.1650574,1.0627989,1,1,.83999997,1,.82800001,.68800002,-.011,-.42399999,.62400001,.56599998,.045000002,.33199999,-.25400001,-1.1390001,1.888,.264,31.9,0
160,160-1-2002,Argentina,2003,Eduardo Duhalde,160-1-2002,1,2002,5,2003,Justicialist Party,0,57,.26405263,51.4,-1.034,.179,1.366,20,17.455406,.098131768,-8.6509151,1.7579142,1,1,.83899999,1,.82800001,.65899998,-.011,1.149,.66900003,.574,.24600001,.50300002,1.536,-.889,.382,.53899997,47.099998,0
160,160-5-2003,Argentina,2007,Nestor Kirchner,160-5-2003,5,2003,12,2007,Justicialist Party (FPV-PJ),0,58,.38634971,50.2,-.377,.247,1.891,24,17.496466,.11366281,7.3425112,1.6990145,1,1,.81300002,3,.82800001,.65899998,.384,1.154,.648,.55400002,.226,.65899998,1.521,-1.2079999,.38499999,-.405,51.400002,0
160,160-12-2007,Argentina,2015,Cristina Fernandez de Kirchner,160-12-2007,12,2007,12,2015,Justicialist Party (FPV-PJ),0,62,.31372246,45.9,-1.403,-2.436,1.041,32,17.579775,.11742683,-1.1564476,.64457858,1,1,.79000002,7,.82800001,.64099997,.796,.73799998,.62099999,.53399998,.241,.80000001,.74900001,1.275,.917,-1.669,50.200001,0
160,160-12-2015,Argentina,2019,Mauricio Macri,160-12-2015,12,2015,12,2019,Republican Proposal (PRO),1,12,.65136349,19.8,-1.968,-2.436,1.041,36,17.62081,.1127462,-.9219808,1.0567966,1,1,.77499998,3,.82800001,.69300002,1.321,.745,.60000002,.51700002,.071999997,.142,-.33500001,.61900002,.62699997,1.429,10.9,0
160,160-12-2019,Argentina,2020,Alberto Fernandez,160-12-2019,12,2019,99,9999,Justicialist Party (FP-PJ),0,74,.29547179,35.4,-.374,-.362,1.96,37,17.63051,.10649893,-3.2979989,,1,1,.77700001,0,.82800001,.71799999,1.321,.66500002,.60500002,.51999998,.131,.639,.53200001,-.31400001,.60900003,-.454,35.400002,0
165,165-3-1990,Uruguay,1995,Luis Alberto Lacalle,165-3-1990,3,1990,3,1995,National Party (PN),0,154,.26644966,31.3,-2.099,-2.39,2.348,11,14.986218,.094935849,4.2011337,0,1,1,.84500003,4,.84299999,.93699998,-2.112,.963,.76700002,.69099998,.039000001,.046999998,-.898,-2.1719999,1.01,1.587,39.400002,0
165,165-3-1995,Uruguay,2000,Julio Maria Sanguinetti,165-3-1995,3,1995,3,2000,Colorado Party (PC),0,165,.21162806,33.3,-2.099,-2.39,2.348,16,15.015395,.10041645,.70678395,0,1,1,.87,4,.84299999,.93699998,-2.112,.963,.792,.745,.024,.142,-1.459,-2.131,1.989,.995,32.299999,0
165,165-3-2000,Uruguay,2005,Jorge Battle,165-3-2000,3,2000,3,2005,Colorado Party (PC),0,170,.3042722,10.1,-2.099,-2.39,2.348,21,15.016017,.10084442,2.97527,0,1,1,.87699997,4,.84299999,.96399999,-2.783,.963,.801,.73100001,.023,.142,-1.459,-1.536,1.989,1.063,33.299999,0
165,15-3-2005,Uruguay,2010,Tabare Vazquez,15-3-2005,3,2005,3,2010,Frente Amplio (FA),0,34,.58702099,50.5,-2.099,-2.39,2.348,26,15.027235,.11590108,5.4268432,0,1,1,.88999999,4,.84299999,.96399999,-3.3039999,1.898,.81900001,.75700003,.021,.53200001,-1.969,-1.4,1.992,-1.344,53.5,0
165,165-3-2010,Uruguay,2015,Jose Mujica,165-3-2010,3,2010,3,2015,Frente Amplio (FA),0,39,.50618774,50.5,-2.099,-2.39,2.348,31,15.042813,.12495498,3.6096628,0,1,1,.90899998,4,.84299999,.96399999,-3.3039999,1.898,.838,.77200001,.025,.51200002,-1.599,-1.55,1.992,-1.354,50.5,0
165,165-3-2015,Uruguay,2020,Tabare Vazquez,165-3-2015,3,2015,99,9999,Frente Amplio (FA),0,44,.50389379,42.4,-1.849,-2.783,2.014,36,15.060739,.12265659,.04967951,,1,1,.89200002,4,.84299999,.96799999,-3.3039999,1.831,.815,.74800003,.017999999,.491,-1.599,-1.55,1.992,-1.354,50.5,0
200,200-11-2990,United Kingdom,1997,John Major,200-11-2990,11,1990,5,1997,Conservative Part,0,156,.084821194,25,-1.227,-1.734,.6850000000000001,86,17.881403,.18713418,2.2144241,.43613204,0,0,.829,6,.829,.926,-.69999999,1.839,.75599998,.58399999,.132,.27500001,-1.521,-.064999998,.27599999,2.0050001,57.799999,0
200,200-5-1997,United Kingdom,2007,Tony Blair,200-5-1997,5,1997,6,2007,Labor Party,0,97,.21162806,55,-1.227,-1.734,.6850000000000001,96,17.931656,.21055609,1.8620509,.63087475,0,0,.82499999,9,.829,.926,-.69999999,1.839,.759,.57300001,.093000002,.389,-1.5650001,-.59299999,1.825,-.2,63.599998,0
200,200-6-2007,United Kingdom,2010,Gordon Brown,200-6-2007,6,2007,5,2010,Labor Party,0,107,.21162806,39.7,-1.227,-1.734,.6850000000000001,99,17.954929,.20560956,-2.9952958,.66639113,0,0,.875,2,.829,.92799997,-.69999999,1.839,.81099999,.61900002,.093000002,.315,-1.5650001,-.59299999,1.825,-.2,55,0
200,200-5-2010,United Kingdom,2016,David Cameron,200-5-2010,5,2010,7,2016,Conservative Part,0,176,.45803508,50.9,-1.227,-1.734,.6850000000000001,105,17.999264,.2132348,2.02406,.24153838,0,0,.87199998,5,.829,.92799997,-.69999999,1.839,.81,.61799997,.092,.185,-1.521,-.55000001,.98000002,.884,47.200001,0
200,200-7-2016,United Kingdom,2019,Theresa May,200-7-2016,7,2016,7,2019,Conservative Part,0,182,.1619093,56,-1.197,-1.734,.6850000000000001,108,18.017757,.21589777,1.2398922,.46310925,0,0,.86799997,2,.829,.93300003,-.69999999,1.839,.787,.63300002,.34999999,.27200001,-1.521,-.071000002,.98000002,1.613,48.900002,0
200,200-7-2019,United Kingdom,2020,Boris Johnson,200-7-2019,7,2019,99,9999,Conservative Part,0,185,.2229524,56,-.887,-1.487,.643,109,18.023411,.20447825,1.0684255,,0,0,.87300003,0,.829,.94300002,-.072999999,1.839,.80599999,.64499998,.34999999,.36500001,-1.521,-.071000002,.98000002,1.998,56,0
205,205-3-1987,Ireland,1992,Charles Haughey,205-3-1987,3,1987,2,1992,Fianna Fail,0,61,.1619093,41,-1.33,-2.689,2.143,71,15.08483,.1543981,4.8601532,.058413744,0,0,.866,1,.85500002,.89200002,-3.1600001,1.969,.764,.61199999,.048,.235,.050000001,-.48899999,-.30599999,.193,46.400002,0
205,205-2-1992,Ireland,1994,Albert Reynolds,205-2-1992,2,1992,12,1994,Fianna Fail,0,66,.2229524,41,-1.33,-2.689,2.143,73,15.09377,.1601852,2.410599,.062155727,0,0,.866,1,.85500002,.89200002,-3.1600001,2.4849999,.78100002,.63,.045000002,.235,-.21799999,-.72500002,-.30599999,.193,41,0
205,205-12-1994,Ireland,1997,John Bruton,205-12-1994,12,1994,6,1997,Fine Gael,0,61,.21162806,32.5,-1.33,-2.689,2.143,76,15.116838,.18101947,7.8003674,.047862425,0,0,.86900002,2,.85500002,.90399998,-3.6860001,2.4849999,.78200001,.63099998,.039999999,.071000002,-.77200001,-2.401,-.285,.215,27.1,0
205,205-6-2997,Ireland,2008,Bertie Ahern,205-6-2997,6,1997,5,2008,Fianna Fail,0,71,.1619093,46.7,-1.749,-2.689,2.143,87,15.317262,.21976019,2.2463737,.022013035,0,0,.87900001,10,.85500002,.90399998,-3.6860001,2.4849999,.80000001,.639,.045000002,.228,-.79100001,-2.3640001,-.30599999,.193,46.400002,0
205,205-5-2008,Ireland,2011,Brian Cowen,205-5-2008,5,2008,3,2011,Fianna Fail,0,82,.1619093,11.5,-1.749,-2.689,2.143,90,15.337228,.21494703,-2.4286559,.014109037,0,0,.89200002,2,.85500002,.90399998,-3.6860001,2.4849999,.81800002,.653,.045000002,.233,-1.499,-1.73,-.30599999,.39500001,46.700001,0
205,205-3-2011,Ireland,2017,Enda Kenny,205-3-2011,3,2011,6,2017,Fine Gael,0,78,.21162806,31.6,-1.749,-2.689,2.143,96,15.385664,.25960955,12.447958,.067855157,0,0,.889,5,.85500002,.90399998,-3.6860001,2.4849999,.81300002,.64899999,.07,.115,-1.48,-2.401,.59899998,.38800001,46.099998,0
205,205-6-2017,Ireland,2020,Leo Eric Varadkar,205-6-2017,6,2017,99,9999,Fine Gael,0,84,.084821194,31.6,-1.749,-2.689,2.143,99,15.423893,.28028253,5.5898232,,0,0,.88,2,.85500002,.91799998,-3.6860001,2.4849999,.81300002,.64499998,.063000001,.07,-1.48,-1.743,.59899998,.38800001,31.6,0
210,210-11-2982,Netherlands,1994,Ruud Lubbers,210-11-2982,11,1982,8,1994,Christian Democratic Appeal,0,5,.45803508,22.7,-2.654,-.591,.458,124,16.548763,.18118243,.7471323,.25018489,0,0,.866,3,.866,.98299998,-1.686,1.863,.81999999,.59200001,.035,.086000003,-2.0510001,-.62199998,-.435,.479,36,0
210,210-8-1994,Netherlands,2007,Wim Kok,210-8-1994,8,1994,7,2002,Labour Party,0,48,.45803508,22,-2.654,-.591,1.99,137,16.611675,.21241593,2.5538244,.51941282,0,0,.86699998,12,.866,.98299998,-1.686,1.863,.81999999,.59200001,.024,.075000003,-2.036,-1.568,1.6720001,-.70200002,24.700001,0
210,210-7-2002,Netherlands,2010,Jan Peter Balkenende,210-7-2002,7,2002,10,2010,Christian Democratic Appeal,0,25,.50389379,14,-2.654,-.591,1.99,140,16.625839,.21064818,-1.1938409,.59229118,0,0,.87,2,.866,.97600001,-.83099997,1.863,.82300001,.62300003,.048,.075000003,-2.0510001,-1.61,-.050000001,.479,27.299999,0
210,210-10-2010,Netherlands,2020,Mark Rutte,210-10-2010,10,2010,99,9999,"People's Party for Freedom and Democracy (VVD),",0,62,.21162806,22,-2.07,-.862,2.097,150,16.674343,.21523863,1.5274132,,0,0,.87300003,9,.866,.97600001,-.83099997,1.863,.82800001,.61299998,.050999999,.112,-2.0150001,-.64099997,1.678,1.524,20.700001,0
211,211-12-1981,Belgium,1992,Wilfried Martens,211-12-1981,12,1981,3,1992,Flemish Christian People's Party,0,13,.54492342,18.4,-1.937,-1.649,-.058,72,16.122601,.17375965,2.1428199,.000035892383,0,0,.875,1,.87400001,.96899998,-1.909,1.761,.80000001,.61699998,.055,.046999998,-.62800002,-1.947,-.041000001,.49000001,18.4,0
211,211-3-1992,Belgium,1999,Jean-Luc Dehaene,211-3-1992,3,1992,6,1999,Flemish Christian People's Party,0,24,.45803508,14.7,-1.937,-2.536,-.058,79,16.140486,.18565033,2.6435566,9.5401060e-07,0,0,.87800002,6,.87400001,.96899998,-1.909,1.761,.80800003,.62199998,.055,.046999998,-.62800002,-1.947,-.041000001,.49000001,18.4,0
211,211-7-1999,Belgium,2008,Guy Verhofstadt,211-7-1999,7,1999,3,2008,Flemish Liberals and Democrats,0,28,.42101812,12,-1.937,-2.536,-.058,88,16.186686,.20033897,2.3982608,0,0,0,.87900001,8,.87400001,.96899998,-2.0869999,1.761,.81300002,.62900001,.054000001,.098999999,-.62,-1.8710001,1.4450001,1.057,15.3,0
211,211-12-2008,Belgium,2009,Herman Van Rompuy,211-12-2008,12,2008,11,2009,Flemish Christian People's Party,0,40,.45803508,14,-1.937,-2.536,-.058,89,16.194733,.19750831,1.2874428,0,0,0,.88999999,0,.87400001,.97899997,-1.973,1.761,.824,.63800001,.055,.046999998,-.62800002,-1.947,-.041000001,.49000001,14,0
211,211-11-2009,Belgium,2011,Yves Leterme,211-11-2009,11,2009,12,2011,Flemish Christian People's Party,0,41,.32651743,11.3,-1.937,-2.536,-.058,91,16.216879,.19978249,-.43857828,0,0,0,.88999999,1,.87400001,.97899997,-1.973,1.761,.82300001,.63800001,.055,.082000002,-.61900002,-1.88,-.052000001,.498,11.3,0
211,211-12-2011,Belgium,2014,Elio Di Rupo,211-12-2011,11,2011,10,2014,Socialist Party,0,33,.32651743,15.3,-1.937,-2.536,-.058,94,16.232233,.20101036,.051627096,0,0,0,.89099997,2,.87400001,.97899997,-1.6160001,1.761,.82599998,.639,.072999999,.182,-.60500002,-1.95,1.4680001,-2.0369999,17.299999,0
211,211-10-2014,Belgium,2019,Charles Michel,211-10-2014,10,2014,10,2019,Reformist Movement,0,12,.42101812,9.300000000000001,-1.868,-2.791,-.058,99,16.256899,.20709336,1.2928288,0,0,0,.89300001,4,.87400001,.97000003,-1.6160001,1.761,.82999998,.64200002,.037,.046999998,-2.125,-1.926,1.457,1.036,13.3,0
211,211-10-2019,Belgium,2020,Sophie Wilmes,211-10-2019,10,2019,99,9999,Reformist Movement,0,17,.4672859,9.300000000000001,-2.361,-2.791,-.058,100,16.262714,.19989881,1.4778807,,0,0,.889,0,.87400001,.96799999,-1.6160001,1.761,.82300001,.63499999,.037,.046999998,-2.125,-1.926,1.457,1.036,9.3000002,0
220,220-5-1981,France,1995,Francois Mitterrand,220-5-1981,5,1981,5,1995,Socialist Party,0,76,.1619093,9.5,-.578,-.603,1.437,120,17.902191,.17243563,.45986065,.010806262,0,1,.87800002,4,.87800002,.94599998,-.0089999996,1.6109999,.80299997,.65200001,.028999999,.34799999,-1.419,-.78100002,1.896,-.78899997,46.799999,0
220,220-5-1995,France,2007,Jacques Chirac,220-5-1995,5,1995,5,2007,Union for a Popular Movmement,0,0,.42101812,54.2,-.578,-1.388,1.804,132,17.974648,.19092783,1.3186523,.014067387,0,1,.88099998,11,.87800002,.94599998,.54299998,1.6109999,.80199999,.65700001,.075000003,.214,-1.4579999,.037999999,.53399998,1.757,43,0
